Date,Open,High,Low,Close,Adj Close,Volume
2022-08-16,0.551004,0.569267,0.549157,0.557915,0.557915,734187541
2022-08-17,0.557921,0.579925,0.532967,0.537038,0.537038,1035477916
2022-08-18,0.537300,0.542983,0.511413,0.512633,0.512633,642877241
2022-08-19,0.512698,0.512698,0.449319,0.450980,0.450980,1294433367
2022-08-20,0.450875,0.462979,0.438870,0.451388,0.451388,792647751
2022-08-21,0.451266,0.472278,0.448482,0.463546,0.463546,616272980
2022-08-22,0.463536,0.463536,0.440015,0.461446,0.461446,722091304
2022-08-23,0.461483,0.468810,0.447805,0.465207,0.465207,562953519
2022-08-24,0.465182,0.466601,0.454518,0.458109,0.458109,494717036
2022-08-25,0.458108,0.473415,0.458041,0.464999,0.464999,525337287
2022-08-26,0.464959,0.481639,0.428157,0.430863,0.430863,1299179883
2022-08-27,0.431039,0.450795,0.428077,0.449703,0.449703,733099946
2022-08-28,0.449719,0.453401,0.430049,0.430049,0.430049,519341943
2022-08-29,0.430070,0.452049,0.427682,0.450703,0.450703,587946527
2022-08-30,0.450736,0.462546,0.440018,0.452169,0.452169,640051711
2022-08-31,0.452263,0.462779,0.446055,0.446665,0.446665,521553602
2022-09-01,0.446677,0.458502,0.442476,0.457481,0.457481,582859437
2022-09-02,0.457464,0.465639,0.449913,0.454559,0.454559,525812957
2022-09-03,0.454534,0.484817,0.453994,0.480387,0.480387,778592386
2022-09-04,0.480372,0.505828,0.476805,0.503084,0.503084,907968827
2022-09-05,0.503168,0.505339,0.483885,0.499121,0.499121,646475147
2022-09-06,0.499091,0.511156,0.462991,0.463066,0.463066,982012136
2022-09-07,0.463011,0.481619,0.455477,0.479282,0.479282,693147052
2022-09-08,0.479274,0.481431,0.464569,0.479274,0.479274,647768733
2022-09-09,0.479253,0.502938,0.478677,0.502920,0.502920,858927416
2022-09-10,0.502842,0.523493,0.496362,0.512422,0.512422,995666468
2022-09-11,0.512380,0.519150,0.503308,0.509752,0.509752,705305295
2022-09-12,0.509751,0.518862,0.497820,0.501546,0.501546,856809100
2022-09-13,0.501495,0.507524,0.462914,0.468881,0.468881,1004511415
2022-09-14,0.463912,0.485709,0.463049,0.481376,0.481376,737527013
2022-09-15,0.481374,0.481406,0.463869,0.465644,0.465644,685227625
2022-09-16,0.465703,0.474130,0.456019,0.474126,0.474126,558761609
2022-09-17,0.474221,0.487726,0.473099,0.487156,0.487156,511814025
2022-09-18,0.487091,0.489621,0.444655,0.447186,0.447186,677522389
2022-09-19,0.447283,0.455685,0.434388,0.453504,0.453504,776470650
2022-09-20,0.453543,0.454071,0.438814,0.441899,0.441899,544680283
2022-09-21,0.441951,0.461842,0.432546,0.441159,0.441159,1223771049
2022-09-22,0.440876,0.465499,0.435710,0.458966,0.458966,762487961
2022-09-23,0.458951,0.479108,0.448352,0.461821,0.461821,1025328778
2022-09-24,0.461830,0.467096,0.451294,0.451600,0.451600,582129449
2022-09-25,0.451599,0.461773,0.440216,0.446188,0.446188,528836100
2022-09-26,0.446299,0.450270,0.438234,0.446757,0.446757,630690579
2022-09-27,0.446819,0.462494,0.438172,0.441890,0.441890,683067297
2022-09-28,0.441782,0.442514,0.426414,0.437290,0.437290,618645006
2022-09-29,0.437308,0.438368,0.428464,0.438170,0.438170,533583651
2022-09-30,0.438183,0.440544,0.430249,0.434414,0.434414,562475136
2022-10-01,0.434429,0.436231,0.428957,0.430293,0.430293,317805815
2022-10-02,0.430284,0.432294,0.418966,0.419633,0.419633,404886268
2022-10-03,0.419644,0.428601,0.418097,0.427998,0.427998,454947649
2022-10-04,0.428003,0.437220,0.425920,0.435765,0.435765,443212603
2022-10-05,0.435777,0.436221,0.424712,0.431273,0.431273,442089311
2022-10-06,0.431265,0.436684,0.426789,0.428687,0.428687,429115801
2022-10-07,0.428693,0.430319,0.422391,0.424320,0.424320,412845097
2022-10-08,0.424253,0.426762,0.420112,0.421736,0.421736,295762328
2022-10-09,0.421791,0.424001,0.419975,0.423072,0.423072,280279986
2022-10-10,0.423054,0.426265,0.401788,0.401801,0.401801,522186013
2022-10-11,0.401735,0.401735,0.388473,0.390540,0.390540,647675205
2022-10-12,0.390583,0.395019,0.378640,0.381300,0.381300,470666876
2022-10-13,0.381323,0.382009,0.351169,0.377638,0.377638,1059234268
2022-10-14,0.377629,0.388534,0.362047,0.366851,0.366851,563104935
2022-10-15,0.366849,0.369367,0.362083,0.363744,0.363744,349542728
2022-10-16,0.363813,0.374418,0.363813,0.370281,0.370281,337167739
2022-10-17,0.370271,0.375328,0.366599,0.372345,0.372345,360241999
2022-10-18,0.372343,0.373903,0.359318,0.361820,0.361820,435708572
2022-10-19,0.361892,0.362199,0.349577,0.350032,0.350032,430500856
2022-10-20,0.350044,0.355504,0.337724,0.340254,0.340254,497190070
2022-10-21,0.340251,0.349577,0.330994,0.349077,0.349077,513576018
2022-10-22,0.349098,0.353987,0.343961,0.351409,0.351409,345854400
2022-10-23,0.351398,0.363300,0.346602,0.362099,0.362099,394201921
2022-10-24,0.362096,0.364590,0.354384,0.357857,0.357857,389895509
2022-10-25,0.357838,0.414189,0.357710,0.401988,0.401988,1215554912
2022-10-26,0.401672,0.410212,0.396357,0.403492,0.403492,761857225
2022-10-27,0.403511,0.414268,0.388504,0.388697,0.388697,719088729
2022-10-28,0.388671,0.410745,0.380107,0.404507,0.404507,618236710
2022-10-29,0.404508,0.435729,0.402261,0.419778,0.419778,855151911
2022-10-30,0.419864,0.421159,0.400375,0.406047,0.406047,577564479
2022-10-31,0.406030,0.415174,0.398713,0.406336,0.406336,569992895
2022-11-01,0.406289,0.414435,0.399925,0.401402,0.401402,452398724
2022-11-02,0.401385,0.407748,0.382296,0.386076,0.386076,741360035
2022-11-03,0.386060,0.398447,0.385136,0.389420,0.389420,445099982
2022-11-04,0.389397,0.425307,0.388812,0.421525,0.421525,909794346
2022-11-05,0.421525,0.436214,0.420775,0.426735,0.426735,701622249
2022-11-06,0.426749,0.430276,0.403005,0.403005,0.403005,495843423
2022-11-07,0.402966,0.415743,0.399029,0.404259,0.404259,554735710
2022-11-08,0.404234,0.413486,0.353258,0.371834,0.371834,1420168187
2022-11-09,0.371961,0.375250,0.312378,0.317837,0.317837,1446651845
2022-11-10,0.317892,0.376563,0.314274,0.368977,0.368977,1353707790
2022-11-11,0.368967,0.373032,0.343391,0.354667,0.354667,595121832
2022-11-12,0.354899,0.355834,0.338529,0.339144,0.339144,389700815
2022-11-13,0.339182,0.344869,0.327357,0.330127,0.330127,405636157
2022-11-14,0.330123,0.340556,0.315946,0.331849,0.331849,484659345
2022-11-15,0.331874,0.344129,0.330337,0.337009,0.337009,312070544
2022-11-16,0.336964,0.343930,0.325434,0.332382,0.332382,279986402
2022-11-17,0.332421,0.334028,0.319963,0.324859,0.324859,238288352
2022-11-18,0.324869,0.332156,0.321397,0.326221,0.326221,223268757
2022-11-19,0.326217,0.331688,0.323074,0.328512,0.328512,160053174
2022-11-20,0.328513,0.330734,0.311079,0.312307,0.312307,241625735
2022-11-21,0.312300,0.312622,0.297288,0.304548,0.304548,402254597
2022-11-22,0.304524,0.315869,0.299104,0.311922,0.311922,303965817
2022-11-23,0.311983,0.319166,0.309854,0.318317,0.318317,326001398
2022-11-24,0.318333,0.320685,0.312540,0.316458,0.316458,221490892
2022-11-25,0.316420,0.316827,0.308314,0.314989,0.314989,205372207
2022-11-26,0.314953,0.321897,0.312215,0.313790,0.313790,206097213
2022-11-27,0.313793,0.319191,0.312288,0.312454,0.312454,167898046
2022-11-28,0.312464,0.313785,0.301404,0.306700,0.306700,268746809
2022-11-29,0.306697,0.312370,0.304970,0.309372,0.309372,184241191
2022-11-30,0.309385,0.320628,0.309058,0.318883,0.318883,272587134
2022-12-01,0.318891,0.319462,0.313623,0.314484,0.314484,205527704
2022-12-02,0.314494,0.319842,0.311833,0.319407,0.319407,189604155
2022-12-03,0.319400,0.325595,0.317130,0.319654,0.319654,228514876
2022-12-04,0.319633,0.323657,0.318834,0.322750,0.322750,174449332
2022-12-05,0.322709,0.328756,0.317321,0.319517,0.319517,202743238
2022-12-06,0.319513,0.320856,0.314313,0.318464,0.318464,162651156
2022-12-07,0.318478,0.319006,0.308061,0.310320,0.310320,224226547
2022-12-08,0.310321,0.315648,0.308138,0.314843,0.314843,164158396
2022-12-09,0.314823,0.316276,0.309368,0.311677,0.311677,158935988
2022-12-10,0.311708,0.314801,0.311260,0.312606,0.312606,95343947
2022-12-11,0.312621,0.314907,0.306742,0.307711,0.307711,121149579
2022-12-12,0.307699,0.307808,0.302640,0.306949,0.306949,180119689
2022-12-13,0.306941,0.318048,0.300175,0.312865,0.312865,304333274
2022-12-14,0.312916,0.315206,0.306783,0.308134,0.308134,255357209
2022-12-15,0.308120,0.308493,0.298362,0.300201,0.300201,221898095
